,name,price_level,rating,user_ratings_total,formatted_address,latitude,longitude
437,Van Phat Chinese Restaurant,1,3.8,103,"2750 N Kimball Ave, Chicago, IL 60647, USA",41.9316643,-87.7125945
162,Heritage Outpost,1,4.5,103,"1020 West Lawrence Avenue #1 Lobby, Chicago, IL 60640, USA",41.9691945,-87.6559689
368,Reyes Grill,1,4.5,104,"3903 S Kedzie Ave, Chicago, IL 60632, USA",41.8222183,-87.7040827
1137,Rice Thai Asian Kitchen,1,4.7,105,"1136 W Thorndale Ave, Chicago, IL 60660, USA",41.9901976,-87.6597352
967,BoJono's Pizzeria,1,3.7,106,"4185 N Clarendon Ave, Chicago, IL 60613, USA",41.9581017,-87.6496586
1076,Wing Wah Restaurant Chinese,1,4,107,"6452 W 63rd St, Chicago, IL 60638, USA",41.77797,-87.7834019
496,Super Jalapeno Grill,1,4.2,107,"2910 W Armitage Ave, Chicago, IL 60647, USA",41.9176333,-87.699833
244,Big Ray's Grill,1,4.5,107,"4653 S Halsted St, Chicago, IL 60609, USA",41.8091275,-87.6453907
1258,The Brewery,1,4.1,109,"3848 N Harlem Ave, Chicago, IL 60634, USA",41.950348,-87.80752
1115,Luzzat,1,3.9,110,"1505 W Jarvis Ave, Chicago, IL 60626, USA",42.015882,-87.6687928
1197,Palace Gate Restaurant - Ghanaian cuisine,1,3.9,110,"4548 N Magnolia Ave, Chicago, IL 60640, USA",41.9649875,-87.6613723
1194,Chicago Sports Bar & Grill,1,4.5,110,"4335 W 47th St, Chicago, IL 60632, USA",41.8075784,-87.732318
610,Tapia's Pizza on Howard,1,4.2,111,"2349 W Howard St, Chicago, IL 60645, USA",42.019203,-87.689609
658,Wing Chong Restaurant,1,4.4,111,"4077 N Elston Ave, Chicago, IL 60618, USA",41.9554304,-87.7213038
394,Mabe's Sandwich Shop,1,4.6,115,"312 E 75th St, Chicago, IL 60619, USA",41.758456,-87.6176375
277,Young's Chinese Restaurant,1,4.5,120,"3949 N Ashland Ave, Chicago, IL 60613, USA",41.953879,-87.6686892
150,Juice House,1,4.8,123,"1324 W 18th St #3148, Chicago, IL 60608, USA",41.8581487,-87.6599099
210,House of Wings,1,4.3,125,"2447 N Clark St, Chicago, IL 60614, USA",41.9267594,-87.6409967
587,Yindee Restaurant,1,4.5,127,"1824 W Addison St, Chicago, IL 60613, USA",41.947066,-87.674956
1131,Little Clown Pizza,1,3.8,129,"2801 N Central Park Ave, Chicago, IL 60618, USA",41.9320382,-87.7170005
249,Hong Kong Restaurant,1,4.3,129,"3904 N Cicero Ave, Chicago, IL 60641, USA",41.951867,-87.7474504
497,El Llano Restaurant,1,4.6,129,"3941 N Lincoln Ave, Chicago, IL 60613, USA",41.9535028,-87.6780357
235,Jerez Sports Bar & Grill,1,3.9,130,"5726 W Grand Ave, Chicago, IL 60639, USA",41.9196133,-87.7692077
405,Golden Chef Chinese Kitchen,1,3.9,130,"3262 W North Ave, Chicago, IL 60647, USA",41.9103292,-87.7092165
884,Sergio's Taqueria & Pizza,1,4.4,130,"3253 W Bryn Mawr Ave, Chicago, IL 60659, USA",41.9829441,-87.7109563
509,Vee-Vee's African Restaurant,1,3.5,132,"6232 N Broadway, Chicago, IL 60660, USA",41.9956207,-87.660759
197,PUB OK,1,4.5,133,"5659 W Irving Park Rd, Chicago, IL 60634, USA",41.952966,-87.7692606
1195,Food Xpress Restaurant,1,4.2,135,"3851 S Michigan Ave, Chicago, IL 60653, USA",41.824083,-87.6227367
