,name,price_level,rating,user_ratings_total,formatted_address,latitude,longitude
1250,AO Hawaiian Hideout,2,4.5,658,"1315 S Wabash Ave, Chicago, IL 60605, USA",41.8653142,-87.6255363
1268,Mas Alla del Sol,2,4.7,665,"5848 N Broadway, Chicago, IL 60660, USA",41.9883806,-87.6604472
138,LiteHouse Whole Food Grill,1,4.1,669,"1660 E 55th St, Chicago, IL 60615, USA",41.7953414,-87.5842248
481,The Soul Shack,2,3.5,670,"1368 E 53rd St, Chicago, IL 60615, USA",41.7996759,-87.5924209
1111,Monti's,1,4.6,673,"4757 N Talman Ave, Chicago, IL 60625, USA",41.9682788,-87.6948403
518,Proxi,3,4.5,675,"565 W Randolph St, Chicago, IL 60661, USA",41.8843078,-87.6424911
1191,Acanto,3,4.5,687,"18 S Michigan Ave, Chicago, IL 60603, USA",41.8814741,-87.6246755
218,Mr Gee's,1,4.2,687,"4436 W Fullerton Ave #1932, Chicago, IL 60639, USA",41.924541,-87.738228
87,3rd Coast Cafe,2,4.6,690,"1260 N Dearborn St, W Goethe St, Chicago, IL 60610, USA",41.9056364,-87.630473
35,Flo,1,4.5,692,"1434 W Chicago Ave, Chicago, IL 60642, USA",41.896336,-87.66395
1053,Nico Osteria,3,4.4,693,"1015 N Rush St, Chicago, IL 60611, USA",41.9013668,-87.6275904
1318,Niu B,2,4.4,693,"888 S Michigan Ave, Chicago, IL 60605, USA",41.8707053,-87.624488
815,Byron's Hot Dogs,1,4.3,704,"1701 W Lawrence Ave, Chicago, IL 60640, USA",41.9686996,-87.6712315
798,Iron Age Korean Steakhouse,2,4.4,705,"1265 N Milwaukee Ave, Chicago, IL 60622, USA",41.9048797,-87.668651
924,Italian Express Restaurant,2,3.7,707,"2447 W Devon Ave, Chicago, IL 60659, USA",41.9974576,-87.6917479
793,Lizzie McNeill's,2,4.3,709,"400 N McClurg Ct, Chicago, IL 60611, USA",41.8891898,-87.6181011
1377,Molly's Cupcakes,2,4.5,712,"2536 N Clark St, Chicago, IL 60614, USA",41.9287908,-87.6426065
1387,Fontano's Subs,1,4.7,715,"1058 W Polk St, Chicago, IL 60607, USA",41.8720889,-87.6534287
467,Guapo Taco Tacos De Canasta,1,4,719,"2430 W 47th St, Chicago, IL 60632, USA",41.8085387,-87.6857217
644,Athenaeum Center for Thought & Culture,NULL,4.6,724,"2936 N Southport Ave, Chicago, IL 60657, USA",41.9354425,-87.6642267
169,Northwestern Memorial Hospital,NULL,3.7,728,"251 E Huron St, Chicago, IL 60611, USA",41.8947049,-87.6214858
1360,Salerno's Pizza of Chicago,2,4.5,731,"1201 W Grand Ave, Chicago, IL 60622, USA",41.8908714,-87.6575751
570,Cleos Bar and Grill,1,4.5,731,"1935 W Chicago Ave, Chicago, IL 60622, USA",41.8958056,-87.676
982,Vienna Beef Factory Store,NULL,4.5,731,"3847 S Morgan St, Chicago, IL 60609, USA",41.824313,-87.6505508
60,Coda di Volpe,3,4.6,734,"3335 N Southport Ave, Chicago, IL 60657, USA",41.9426398,-87.663589
243,La Michoacana Armitage,2,3.8,742,"4345 W Armitage Ave, Chicago, IL 60639, USA",41.9166872,-87.7360902
304,Honey 1 BBQ,1,4.1,752,"746 E 43rd St, Chicago, IL 60653, USA",41.8169632,-87.6072735
433,SPIN Chicago,2,4.5,762,"344 N State St, Chicago, IL 60654, USA",41.8886781,-87.6283111
702,RAMEN-SAN Whisky Bar,2,4.5,768,"219 N Green St, Chicago, IL 60607, USA",41.8863134,-87.6485094
836,Prost!,2,4.5,777,"2566 N Lincoln Ave, Chicago, IL 60614, USA",41.9284238,-87.653229
1202,El Carrito,1,4.1,779,"6019 N Lincoln Ave, Chicago, IL 60659, USA",41.9909431,-87.7076758
96,Bridgeport Coffeehouse,1,4.5,785,"3101 S Morgan St, Chicago, IL 60608, USA",41.8378703,-87.6509006
606,Tiny Tapp & Cafe,2,4.2,790,"55 Chicago Riverwalk, Chicago, IL 60601, USA",41.8869149,-87.6304112
154,Manjares Restaurant,2,4.3,793,"2230 S Ashland Ave, Chicago, IL 60608, USA",41.8513179,-87.6664113
845,Ponce Place,1,4.4,793,"3612 W North Ave, Chicago, IL 60647, USA",41.9101385,-87.7171655
624,Maxwell Street Express,1,4,796,"7901 S Wentworth Ave, Chicago, IL 60620, USA",41.7506979,-87.6289774
1198,Burrito House,1,4.4,796,"3547 N Lincoln Ave, Chicago, IL 60657, USA",41.9464444,-87.6732291
930,Iguana Cafe,2,4.6,797,"517 N Halsted St, Chicago, IL 60642, USA",41.891779,-87.64743
971,Dairy Queen,1,4.2,803,"5636 W Irving Park Rd, Chicago, IL 60634, USA",41.9534663,-87.768437
1334,Strings Ramen Shop Lakeview,2,4.6,804,"919 W Belmont Ave, Chicago, IL 60657, USA",41.9397698,-87.6523433
1094,West Town Bakery & Diner,2,4.4,806,"1916 W Chicago Ave, Chicago, IL 60622, USA",41.896158,-87.675407
943,Kings Gyros Chicago,1,4,809,"5233 N Milwaukee Ave, Chicago, IL 60630, USA",41.9755106,-87.7669931
1133,Coalfire,2,4.6,823,"1321 W Grand Ave, Chicago, IL 60642, USA",41.8907928,-87.659872
1299,Just Turkey Restaurant,1,4.1,824,"4353 S Cottage Grove Ave, Chicago, IL 60653, USA",41.8152778,-87.6061111
1160,Mon Ami Gabi,3,4.6,836,"2300 N Lincoln Park W, Chicago, IL 60614, USA",41.924002,-87.6367807
234,nana,2,4.3,838,"3267 S Halsted St, Chicago, IL 60608, USA",41.8345302,-87.6456492
1027,Devil Dawgs Wicker Park,1,4.4,840,"1431 N Milwaukee Ave, Chicago, IL 60622, USA",41.9080484,-87.6733715
636,Uncommon Ground - Edgewater,2,4.4,844,"1401 W Devon Ave, Chicago, IL 60660, USA",41.997951,-87.6656194
81,The Fifty/50,2,4.1,848,"2047 W Division St, Chicago, IL 60622, USA",41.9029936,-87.6790664
1118,Aloft Chicago Mag Mile,NULL,4.2,852,"243 E Ontario St, Chicago, IL 60611, USA",41.8930903,-87.6211815
955,Thompson Chicago,NULL,4.6,852,"21 E Bellevue Pl, Chicago, IL 60611, USA",41.9013417,-87.6274861
942,bopNgrill,2,4.5,853,"6604 N Sheridan Rd, Chicago, IL 60626, USA",42.0027778,-87.6611111
1001,Peaches & Pears Restaurant,2,4.5,854,"6435 W Archer Ave, Chicago, IL 60638, USA",41.7921294,-87.7832628
754,The Halal Burger,2,4.2,859,"6234 N California Ave, Chicago, IL 60659, USA",41.9950129,-87.6999213
395,Del Toro,2,4.5,859,"2133 S Halsted St, Chicago, IL 60608, USA",41.8532132,-87.6463031
513,Chuck E. Cheese,2,4,864,"1830 W Fullerton Ave, Chicago, IL 60614, USA",41.9265933,-87.6740874
125,City Winery Chicago,2,4.3,872,"1200 W Randolph St, Chicago, IL 60607, USA",41.884588,-87.6571111
1238,The Dog Stop,1,4.3,875,"6100 W Belmont Ave, Chicago, IL 60634, USA",41.9386876,-87.7789991
490,Sonesta ES Suites Chicago Downtown Magnificent Mile - Medical,NULL,4.3,881,"201 E Walton Pl, Chicago, IL 60611, USA",41.8999445,-87.6214556
468,Old Crow Smokehouse - Wrigleyville,2,4.1,882,"3506 N Clark St, Chicago, IL 60657, USA",41.945776,-87.655655
449,Spoke & Bird Cafe (South Loop),2,4.3,882,"205 E 18th St, Chicago, IL 60616, USA",41.857757,-87.6219582
1396,Francesca's On Chestnut,2,4.6,889,"200 E Chestnut St, Chicago, IL 60611, USA",41.8985558,-87.6216786
846,Don's Grill,1,4.6,890,"1837 S Western Ave, Chicago, IL 60608, USA",41.856511,-87.685566
230,Earl's BBQ,1,4.3,892,"4835 N Austin Ave, Chicago, IL 60630, USA",41.9688031,-87.7780367
287,Tonys Burrito Mex,1,4.5,896,"1957 W Belmont Ave, Chicago, IL 60657, USA",41.9394771,-87.6782003
1345,Charcoal Delights,1,4.3,910,"3139 W Foster Ave, Chicago, IL 60625, USA",41.9755284,-87.707813
530,El Gran Burrito,1,4.1,924,"5632 W North Ave, Chicago, IL 60639, USA",41.9095228,-87.7668656
11,Pasta D'Arte Trattoria Italiana,2,4.7,929,"6311 N Milwaukee Ave, Chicago, IL 60646, USA",41.9956245,-87.7857971
647,Great Sea Restaurant,2,4.3,932,"3253 W Lawrence Ave, Chicago, IL 60625, USA",41.9683409,-87.7105546
314,Jess Cafe,1,4.5,936,"5819 W Belmont Ave, Chicago, IL 60634, USA",41.9384102,-87.7721857
1050,Jeff's Red Hots,1,4.6,936,"3901 N Cicero Ave, Chicago, IL 60641, USA",41.951836,-87.747103
1154,The Hoagie Place,1,4.4,941,"8147 S Halsted St, Chicago, IL 60620, USA",41.7456382,-87.6436828
284,Union League Club,NULL,4.7,964,"65 W Jackson Blvd, Chicago, IL 60604, USA",41.8778971,-87.6299325
1008,TECALITLAN MEXICAN KITCHEN & MARGARITA BAR,2,4.2,971,"1538 N Clybourn Ave a105, Chicago, IL 60610, USA",41.9087612,-87.6476203
193,Al's Under the L,1,4.3,977,"2908 W Lake St, Chicago, IL 60612, USA",41.8843358,-87.6992986
829,O'Donovan's,2,4.3,979,"2100 W Irving Park Rd, Chicago, IL 60618, USA",41.9543856,-87.6814435
21,Ahjoomah's Apron Korean Restaurant,2,4.3,987,"218 W Cermak Rd, Chicago, IL 60616, USA",41.8530159,-87.6326065
801,Jerk. Jamaican Barbecue,2,4.2,988,"811 W Chicago Ave, Chicago, IL 60642, USA",41.8962233,-87.6482988
342,Chicago Pit Stop BBQ,2,3.7,989,"9709 S Halsted St, Chicago, IL 60628, USA",41.7175,-87.6427778
623,Little Caesars Pizza,1,3.9,995,"3135 W Addison St, Chicago, IL 60618, USA",41.9464311,-87.7067536
168,Fatpour Tap Works - Wicker Park,2,4.2,999,"2005 W Division St, Chicago, IL 60622, USA",41.9029889,-87.6776167
63,The Wild Hare & Singing Armadillo Frog Sanctuary,2,4.5,1002,"2610 N Halsted St, Chicago, IL 60614, USA",41.9294939,-87.6490314
416,Anmol Restaurant - Pakistani & Indian Halal Food - Chicago,2,4.1,1008,"2858 W Devon Ave, Chicago, IL 60659, USA",41.9977976,-87.7019262
190,IHOP,1,4,1013,"5929 N Lincoln Ave, Chicago, IL 60659, USA",41.9891441,-87.7047066
752,El Indio Cocina Mexicana,1,4.3,1020,"3930 W 63rd St, Chicago, IL 60629, USA",41.7789534,-87.721591
1081,El Taconazo Jr.,1,3.9,1021,"4256 W Fullerton Ave, Chicago, IL 60639, USA",41.9247755,-87.733974
94,Paulie Gee's Logan Square,2,4.5,1026,"2451 N Milwaukee Ave, Chicago, IL 60647, USA",41.9258435,-87.7018899
871,Original Alps Pancake House,1,4.4,1044,"3637 W Irving Park Rd, Chicago, IL 60618, USA",41.9535186,-87.7193233
