,name,price_level,rating,user_ratings_total,formatted_address,latitude,longitude
76,Burger King,1,3.5,448,"7523 N Clark St, Chicago, IL 60626, USA",42.0184772,-87.6756989
167,Hook Fish & Chicken,1,3.5,70,"810 W 59th St, Chicago, IL 60621, USA",41.7873498,-87.6456574
174,Pizza Hut,1,3.5,531,"2042 W 47th St, Chicago, IL 60609, USA",41.80881,-87.676289
581,Vee-Vee's African Restaurant,1,3.5,132,"6232 N Broadway, Chicago, IL 60660, USA",41.9956207,-87.660759
632,Village Pizza,1,3.5,176,"925 N Ashland Ave, Chicago, IL 60622, USA",41.8986978,-87.6671187
4,Reggio's Pizza,2,3.5,367,"8548 S Cottage Grove Ave, Chicago, IL 60619, USA",41.7388577,-87.6055163
835,May Flower Chinese Restaurant,2,3.5,295,"2225 S Wentworth Ave, Chicago, IL 60616, USA",41.8521575,-87.6318511
1013,Udupi Palace Restaurant | Best vegetarian Indian Restaurant in Chicago,2,3.5,1040,"2543 W Devon Ave, Chicago, IL 60659, USA",41.997479,-87.694005
951,Pablo's Tacos,NULL,3.5,8,"4106 S Archer Ave, Chicago, IL 60632, USA",41.8189557,-87.6965688
1049,La Michoacana Ice Cream Shop,NULL,3.5,107,"3591 N Milwaukee Ave, Chicago, IL 60641, USA",41.946053,-87.7349529
1194,African Food Palace,NULL,3.5,53,"8918 S Commercial Ave, Chicago, IL 60617, USA",41.7330771,-87.5516181
1302,Jordan's Fish & Chicken,NULL,3.5,13,"3357 W Chicago Ave, Chicago, IL 60651, USA",41.8953002,-87.7111305
173,Harold's Chicken Shack,1,3.6,533,"808 E 79th St, Chicago, IL 60619, USA",41.7514011,-87.6047395
222,Bubblelicious Bubble Tea Millennium Park Location,1,3.6,68,"179 Michigan Ave, Chicago, IL 60601, USA",41.8853107,-87.6242561
231,Deli Boutique Wine & Spirits,1,3.6,45,"2318 N Clark St, Chicago, IL 60614, USA",41.9241865,-87.639925
317,Billy's Prime Fish & Hoagie,1,3.6,144,"8022 S Halsted St, Chicago, IL 60620, USA",41.748092,-87.644252
557,Jimmy John's,1,3.6,106,"2048 W Division St, Chicago, IL 60622, USA",41.9033165,-87.6791385
1038,Congress Pizzeria,1,3.6,497,"5925 W Diversey Ave, Chicago, IL 60639, USA",41.9310561,-87.7745727
1086,Late Night Thai,1,3.6,203,"1624 W Belmont Ave, Chicago, IL 60657, USA",41.9398343,-87.669727
1312,Great Wall,1,3.6,101,"6748 N Sheridan Rd, Chicago, IL 60626, USA",42.0049025,-87.6611734
12,Bureau Bar and Restaurant,2,3.6,457,"2115 S State St, Chicago, IL 60616, USA",41.8537198,-87.6268692
23,Porkchop West Loop,2,3.6,277,"1132 W Grand Ave, Chicago, IL 60642, USA",41.8912856,-87.6560025
